Year,Month,State,Primary Mode,Etiology,Serotype or Genotype,Etiology Status,Setting,Illnesses,Hospitalizations,Info On Hospitalizations,Deaths,Info On Deaths,Food Vehicle,Food Contaminated Ingredient,IFSAC Category,Water Exposure,Water Type,Animal Type
2021,4,Florida,Water,Legionella pneumophila,serogroup 1,Confirmed,Hotel/motel,3,,0,0,3,,,,Recreational water -- treated,Hot Tub/Spa/Whirlpool,
2021,4,Virginia,Water,Legionella pneumophila,serogroup 1,Confirmed,Hotel/motel,3,0,0,0,3,,,,Recreational water -- treated,Hot Tub/Spa/Whirlpool,
2021,4,Virginia,Water,Legionella pneumophila,serogroup 1,Confirmed,Hotel/motel,3,0,0,0,3,,,,Recreational water -- treated,Hot Tub/Spa/Whirlpool,
2021,4,Massachusetts,Water,Legionella pneumophila,unknown,Confirmed,Hospital,4,4,4,0,4,,,,Drinking water,Unknown,
2021,5,Florida,Water,Legionella pneumophila,,Confirmed,Long-term care/nursing home/assisted living facility,2,2,2,1,2,,,,Drinking water,Community,
2021,5,Michigan,Water,Legionella pneumophila,serogroup 1,Suspected,Hotel/motel,2,1,1,1,2,,,,Recreational water -- treated,Hot Tub/Spa/Whirlpool;Pool - Other Swimming Pool,
2021,5,Florida,Water,Legionella pneumophila,,Confirmed,Long-term care/nursing home/assisted living facility,2,2,2,0,2,,,,Drinking water,Community,
2021,5,Florida,Water,Legionella pneumophila,serogroup 1,Confirmed,Hospital,2,2,2,0,2,,,,Drinking water,Community,
2021,6,Massachusetts,Water,Legionella pneumophila,serogroup 1,Confirmed,Apartment/Condo,3,2,2,0,2,,,,Drinking water,Individual/Private,
2021,6,Florida,Water,Legionella pneumophila,serogroup 1,Confirmed,Hotel/motel,3,2,3,0,3,,,,Recreational water -- treated,Hot Tub/Spa/Whirlpool,
2021,6,Wisconsin,Water,Legionella pneumophila,serogroup 1,Confirmed,Apartment/Condo,2,2,2,0,2,,,,Drinking water,Community,
2021,7,New York,Water,Legionella pneumophila,serogroup 1,Confirmed,Hospital,3,3,3,0,3,,,,Undetermined water,,
2021,7,Ohio,Water,Legionella pneumophila,serogroup 1,Confirmed,Hotel/motel,2,,0,0,2,,,,Drinking water,Community,
2021,7,Florida,Water,Legionella pneumophila,serogroup 1,Confirmed,Hotel/motel,2,2,2,0,2,,,,Other/Environmental water,,
2021,7,Virginia,Water,Legionella unknown,,Confirmed,Hospital,3,3,3,0,3,,,,Drinking water,Community,
2021,7,Maryland,Water,Legionella pneumophila,serogroup 1,Confirmed,Hospital,8,8,8,0,8,,,,Drinking water,Community,
2021,8,New York,Water,Legionella pneumophila,serogroup 1,Confirmed,Long-term care/nursing home/assisted living facility,4,4,4,0,4,,,,Drinking water,Community,
2021,8,Maryland,Water,Legionella pneumophila,serogroup 1,Confirmed,Subdivision/Neighborhood,11,8,11,1,11,,,,Drinking water,Community,
2021,8,Massachusetts,Water,Legionella pneumophila,unknown,Suspected,Hospital,2,2,2,0,2,,,,Drinking water,Unknown,
2021,8,North Carolina,Water,Legionella micdadei,,Confirmed,Recreational facility,90,1,90,0,90,,,,Recreational water -- treated,Hot Tub/Spa/Whirlpool,
2021,9,South Carolina,Water,Legionella pneumophila,serogroup 1,Suspected,Private home/residence,5,1,5,0,5,,,,Recreational water -- treated,Hot Tub/Spa/Whirlpool;Pool - Other Swimming Pool,
2021,11,Maryland,Water,Legionella pneumophila,serogroup 1,Confirmed,Fee-based facility/membership club,4,4,4,0,4,,,,Undetermined water,,
2021,11,Florida,Water,Legionella pneumophila,serogroup 1,Confirmed,Community/municipality,4,4,4,0,4,,,,Recreational water -- treated,Hot Tub/Spa/Whirlpool,
2021,12,New York,Water,Legionella pneumophila,serogroup 1,Confirmed,Long-term care/nursing home/assisted living facility,2,0,2,0,2,,,,Undetermined water,,
2021,12,Florida,Water,Legionella pneumophila,serogroup 1,Confirmed,Fee-based facility/membership club,2,2,2,0,2,,,,Recreational water -- treated,Hot Tub/Spa/Whirlpool,
2021,12,Florida,Water,Legionella pneumophila,serogroup 1,Confirmed,Mobile home/trailer park,4,4,4,0,4,,,,Recreational water -- treated,Hot Tub/Spa/Whirlpool,
2021,12,Florida,Water,Legionella pneumophila,serogroup 1,Confirmed,Apartment/Condo,11,2,11,0,11,,,,Recreational water -- treated,Hot Tub/Spa/Whirlpool,
2021,12,Florida,Water,Legionella pneumophila,serogroup 1,Confirmed,Hotel/motel,2,1,1,0,2,,,,Recreational water -- treated,Hot Tub/Spa/Whirlpool,
2020,1,Illinois,Water,Legionella pneumophila,serogroup 1,Confirmed,Long-term care/nursing home/assisted living facility,2,2,2,0,2,,,,Drinking water,Community,
2020,1,Florida,Water,Legionella unknown,,Suspected,Hospital,2,2,2,0,2,,,,Drinking water,Community,
2020,1,Illinois,Water,Legionella pneumophila,serogroup 1,Confirmed,Apartment/Condo,6,6,6,1,6,,,,Undetermined water,,
2020,1,Florida,Water,Legionella unknown,,Suspected,Long-term care/nursing home/assisted living facility,2,2,2,1,2,,,,Drinking water,Community,
2020,1,Florida,Water,Legionella pneumophila,serogroup 1,Confirmed,Hospital,2,2,2,0,2,,,,Drinking water,Community,
2020,2,Florida,Water,Legionella pneumophila,serogroup 1,Confirmed,Hotel/motel,4,3,3,0,3,,,,Recreational water -- treated,Hot Tub/Spa/Whirlpool,
2020,2,Ohio,Water,Legionella pneumophila,unknown,Confirmed,Hospital,2,2,2,0,2,,,,Drinking water,Community,
2020,3,Florida,Water,Legionella unknown,,Suspected,Hospital,2,2,2,0,2,,,,Drinking water,Community,
2020,3,Florida,Water,Legionella unknown,,Suspected,Assisted Living/Rehab,2,2,2,1,2,,,,Drinking water,Community,
2020,3,Florida,Water,Legionella unknown,,Suspected,Long-term care/nursing home/assisted living facility,2,2,2,0,2,,,,Drinking water,Community,
2020,4,Florida,Water,Legionella pneumophila,unknown,Confirmed,Hospital,2,2,2,1,2,,,,Drinking water,Community,
2020,4,Wisconsin,Water,Legionella pneumophila,serogroup 1,Confirmed,Long-term care/nursing home/assisted living facility,2,2,2,0,2,,,,Drinking water,Community,
2020,4,Florida,Water,Legionella pneumophila,unknown,Suspected,Long-term care/nursing home/assisted living facility,2,2,2,0,2,,,,Drinking water,Community,
2020,4,Florida,Water,Legionella unknown,,Suspected,Assisted Living/Rehab,2,2,2,0,2,,,,Drinking water,Community,
2020,4,Pennsylvania,Water,Legionella pneumophila,serogroup 1,Suspected,Apartment/Condo,3,3,3,0,3,,,,Drinking water,Community,
2020,5,New York,Water,Legionella pneumophila,serogroup 1,Confirmed,Hospital,2,2,2,0,2,,,,Undetermined water,,
2020,6,Virginia,Water,Legionella pneumophila,serogroup 1,Confirmed,Hotel/motel,3,3,3,0,3,,,,Recreational water -- treated,Hot Tub/Spa/Whirlpool,
2020,6,South Carolina,Water,Legionella pneumophila,serogroup 1,Confirmed,Hotel/motel,2,,0,0,0,,,,Undetermined water,,
2020,6,Ohio,Water,Legionella pneumophila,unknown,Confirmed,Hospital,3,3,3,0,0,,,,Other/Environmental water,,
2020,7,Maryland,Water,Legionella pneumophila,serogroup 1,Confirmed,Hotel/motel,2,1,1,0,1,,,,Drinking water,Community,
2020,7,New York,Water,Legionella pneumophila,serogroup 1,Confirmed,Hospital,3,3,3,1,3,,,,Undetermined water,,
2020,7,Michigan,Water,Legionella pneumophila,unknown,Confirmed,Hospital,2,2,2,0,2,,,,Undetermined water,,
2020,7,Wisconsin,Water,Legionella pneumophila,serogroup 1,Confirmed,Private home/residence,3,1,1,0,1,,,,Recreational water -- treated,Hot Tub/Spa/Whirlpool,
2020,8,Wisconsin,Water,Legionella pneumophila,serogroup 1,Confirmed,Community/municipality;Factory/industrial facility,30,29,30,2,30,,,,Other/Environmental water,,
2020,8,Illinois,Water,Legionella anisa; Legionella pneumophila,serogroup 1,Suspected; Suspected,Apartment/Condo,3,3,3,1,3,,,,Drinking water,Community,
2020,8,New York,Water,Legionella pneumophila,serogroup 1,Confirmed,Long-term care/nursing home/assisted living facility,5,,,,,,,,Drinking water,Community,
2020,8,New York,Water,Legionella pneumophila,serogroup 1,Confirmed,Hospital,2,2,2,1,2,,,,Undetermined water,,
2020,8,Massachusetts,Water,Legionella pneumophila,serogroup 1,Confirmed,Hospital,3,3,3,0,3,,,,Drinking water,Unknown,
2020,9,Florida,Water,Legionella pneumophila,serogroup 1,Confirmed,Assisted Living/Rehab,2,2,2,0,2,,,,Drinking water,Community,
2020,9,Illinois,Water,Legionella pneumophila,serogroup 1,Confirmed,Correctional/detention facility,2,2,2,0,2,,,,Drinking water,Community,
2020,9,Pennsylvania,Water,Legionella pneumophila,serogroup 1,Confirmed,Long-term care/nursing home/assisted living facility,3,3,3,0,3,,,,Drinking water,Individual/Private,
2020,9,South Carolina,Water,Legionella pneumophila,serogroup 1,Confirmed,Resort,2,0,1,0,1,,,,Recreational water -- treated,Hot Tub/Spa/Whirlpool,
2020,9,Florida,Water,Legionella pneumophila,serogroup 1,Suspected,Hospital,2,2,2,1,2,,,,Drinking water,Community,
2020,10,Michigan,Water,Legionella pneumophila,serogroup 1,Confirmed,Hotel/motel,3,3,3,0,3,,,,Recreational water -- treated,Hot Tub/Spa/Whirlpool,
2020,12,Massachusetts,Water,Legionella pneumophila,unknown,Suspected,Long-term care/nursing home/assisted living facility,2,2,2,1,2,,,,Drinking water,Unknown,
2020,12,Oregon,Water,Legionella pneumophila,serogroup 1,Confirmed,Residence - Multi-unit housing,15,5,11,1,11,,,,Drinking water,Community,
2020,12,South Carolina,Water,Legionella pneumophila,serogroup 1,Confirmed,Unknown,21,21,21,1,21,,,,Undetermined water,,
2020,12,Florida,Water,Legionella pneumophila,serogroup 1,Confirmed,Hotel/motel,2,2,2,0,2,,,,Recreational water -- treated,Hot Tub/Spa/Whirlpool,
2020,12,Massachusetts,Water,Legionella pneumophila,unknown,Suspected,Hospital,3,3,3,0,3,,,,Drinking water,Unknown,
2020,12,Massachusetts,Water,Legionella pneumophila,unknown,Suspected,Hotel/motel,2,1,1,0,1,,,,Drinking water,Unknown,
2019,1,Illinois,Water,Legionella pneumophila,serogroup 1,Confirmed,Other,2,2,2,1,2,,,,Drinking water,Community,
2019,1,New York,Water,Legionella pneumophila,serogroup 1,Confirmed,Hospital,2,2,2,0,2,,,,Undetermined water,,
2019,1,Wisconsin,Water,Legionella pneumophila,serogroup 1,Confirmed,Assisted Living/Rehab,2,2,2,1,2,,,,Drinking water,Community,
2019,1,Minnesota,Water,Legionella pneumophila,serogroup 1,Confirmed,Hotel/motel,4,4,4,0,4,,,,Recreational water -- treated,Hot Tub/Spa/Whirlpool,
2019,1,Florida,Water,Legionella pneumophila; Legionella pneumophila,serogroup 1; unknown,Confirmed; Suspected,Hospital,3,3,3,0,3,,,,Drinking water,Community,
2019,1,Florida,Water,Legionella pneumophila,unknown,Suspected,Assisted Living/Rehab,3,3,3,0,3,,,,Drinking water,Community,
2019,2,Illinois,Water,Legionella pneumophila; Legionella pneumophila,serogroup 1; serogroup 6,Confirmed; Confirmed,Hospital,3,3,3,2,3,,,,Drinking water,Community,
2019,2,Illinois,Water,Legionella pneumophila,serogroup 1,Confirmed,Long-term care/nursing home/assisted living facility,2,2,2,1,2,,,,Drinking water,Community,
2019,2,Florida,Water,Legionella pneumophila,serogroup 1,Suspected,Apartment/Condo,2,2,2,0,2,,,,Recreational water -- treated,Hot Tub/Spa/Whirlpool,
2019,2,Georgia,Water,Legionella pneumophila,serogroup 1,Confirmed,Hospital,2,2,2,0,2,,,,Drinking water,Community,
2019,2,Florida,Water,Legionella pneumophila,serogroup 1,Confirmed,Long-term care/nursing home/assisted living facility,2,2,2,0,2,,,,Drinking water,Community,
2019,2,Arizona,Water,Legionella unknown,,Confirmed,Hotel/motel,2,0,2,0,2,,,,Undetermined water,,
2019,2,Wisconsin,Water,Legionella pneumophila,serogroup 1,Confirmed,Hotel/motel,3,2,3,0,3,,,,Recreational water -- treated,Hot Tub/Spa/Whirlpool,
2019,2,New York,Water,Legionella pneumophila,serogroup 1,Confirmed,Assisted Living/Rehab,3,3,3,0,0,,,,Drinking water,Community,
2019,3,Massachusetts,Water,Legionella pneumophila,serogroup 1,Confirmed,Long-term care/nursing home/assisted living facility,2,2,2,0,2,,,,Drinking water,Unknown,
2019,3,Florida,Water,Legionella pneumophila,serogroup 1,Confirmed,Apartment/Condo,2,2,2,0,2,,,,Recreational water -- treated,Hot Tub/Spa/Whirlpool,
2019,3,Florida,Water,Legionella pneumophila,serogroup 1,Confirmed,Resort,2,0,0,0,1,,,,Recreational water -- treated,Hot Tub/Spa/Whirlpool,
2019,4,Georgia,Water,Legionella pneumophila,serogroup 1,Confirmed,Hospital,2,2,2,1,2,,,,Undetermined water,,
2019,4,Arizona,Water,Legionella pneumophila,serogroup 1,Confirmed,Hotel/motel,2,2,2,0,2,,,,Recreational water -- treated,Hot Tub/Spa/Whirlpool;Pool - Other Swimming Pool,
2019,4,Colorado,Water,Legionella pneumophila,serogroup 1,Confirmed,Assisted Living/Rehab,2,2,2,0,2,,,,Recreational water -- treated,Hot Tub/Spa/Whirlpool;Pool - Other Swimming Pool,
2019,4,Pennsylvania,Water,Legionella pneumophila,serogroup 1,Confirmed,Hospital,5,5,5,0,5,,,,Drinking water,Community,
2019,4,Michigan,Water,Legionella pneumophila,serogroup 1,Confirmed,Factory/industrial facility,2,2,2,0,2,,,,Drinking water,Community,
2019,5,Florida,Water,Legionella unknown; Legionella pneumophila,serogroup 1,Suspected; Confirmed,Long-term care/nursing home/assisted living facility,2,1,2,0,2,,,,Drinking water,Community,
2019,5,Illinois,Water,Legionella pneumophila,serogroup 1,Confirmed,Hospital,7,7,7,1,7,,,,Drinking water,Community,
2019,5,Florida,Water,Legionella pneumophila,serogroup 1,Confirmed,Apartment/Condo,2,2,2,0,2,,,,Recreational water -- treated,Hot Tub/Spa/Whirlpool,
2019,5,Illinois,Water,Legionella pneumophila,serogroup 1,Confirmed,Hospital,2,2,2,0,2,,,,Drinking water,Community,
2019,5,Michigan,Water,Legionella pneumophila,serogroup 1,Confirmed,Apartment/Condo,2,2,2,0,2,,,,Recreational water -- treated,Hot Tub/Spa/Whirlpool,
2019,5,Ohio,Water,Legionella pneumophila,serogroup 1,Confirmed,Hospital,16,14,16,2,16,,,,Drinking water,Community,
2019,5,Illinois,Water,Legionella pneumophila,serogroup 1,Confirmed,Hospital,2,2,2,1,2,,,,Drinking water,Community,
2019,5,Illinois,Water,Legionella pneumophila,serogroup 1,Confirmed,Apartment/Condo,3,2,3,2,3,,,,Drinking water,Community,
2019,5,Florida,Water,Legionella pneumophila,serogroup 1,Confirmed,Resort,2,0,0,0,2,,,,Recreational water -- treated,Hot Tub/Spa/Whirlpool,
2019,6,Alabama,Water,Legionella pneumophila,serogroup 1,Confirmed,Unknown,2,2,2,1,2,,,,Undetermined water,,
2019,6,Florida,Water,Legionella unknown,,Suspected,Long-term care/nursing home/assisted living facility,4,4,4,2,4,,,,Drinking water,Community,
2019,6,Michigan,Water,Legionella pneumophila,serogroup 1,Confirmed,Hotel/motel,2,2,2,0,2,,,,Recreational water -- treated,Hot Tub/Spa/Whirlpool,
2019,6,Illinois,Water,Legionella pneumophila,serogroup 1,Confirmed,Hotel/motel,2,2,2,0,2,,,,Drinking water,Community,
2019,6,Florida,Water,Legionella pneumophila,unknown,Suspected,Long-term care/nursing home/assisted living facility,2,1,2,0,2,,,,Drinking water,Community,
2019,6,New York,Water,Legionella pneumophila,serogroup 1,Confirmed,Unknown,2,0,2,0,2,,,,Undetermined water,,
2019,6,Georgia,Water,Legionella pneumophila,serogroup 1,Suspected,,81,0,0,1,1,,,,Undetermined water,,
2019,6,Michigan,Water,Legionella pneumophila,serogroup 1,Confirmed,Hospital,2,2,2,1,2,,,,Drinking water,Community,
2019,7,Illinois,Water,Legionella pneumophila,serogroup 1,Suspected,Hotel/motel,2,1,2,0,2,,,,Drinking water,Community,
2019,7,Maryland,Water,Legionella pneumophila,serogroup 1,Confirmed,Apartment/Condo,2,1,2,0,2,,,,Drinking water,Community,
2019,7,Florida,Water,Legionella pneumophila,serogroup 1,Confirmed,Hospital,3,3,3,1,3,,,,Drinking water,Community,
2019,7,Ohio,Water,Legionella unknown,,Confirmed,Private home/residence,8,0,2,0,2,,,,Recreational water -- treated,Hot Tub/Spa/Whirlpool,
2019,7,Florida,Water,Legionella pneumophila,serogroup 1,Confirmed,Resort,3,1,1,0,3,,,,Recreational water -- treated,Hot Tub/Spa/Whirlpool,
2019,7,Kentucky,Water,Legionella unknown,,Suspected,Hotel/motel,3,,0,0,3,,,,Recreational water -- treated,Hot Tub/Spa/Whirlpool;Pool - Other Swimming Pool,
2019,7,Pennsylvania,Water,Legionella pneumophila,serogroup 1,Confirmed,Hospital,2,2,2,0,2,,,,Drinking water,Non-Transient Non-Community,
2019,7,Virginia,Water,Legionella pneumophila,unknown,Confirmed,Long-term care/nursing home/assisted living facility,2,2,2,0,2,,,,Drinking water,Unknown,
2019,7,Illinois,Water,Legionella pneumophila,serogroup 1,Confirmed,Hotel/motel,7,6,7,0,7,,,,Recreational water -- treated,Hot Tub/Spa/Whirlpool,
2019,8,Illinois,Water,Legionella pneumophila,serogroup 1,Confirmed,Community/municipality,15,15,15,1,15,,,,Other/Environmental water,,
2019,8,New York,Water,Legionella pneumophila; Legionella pneumophila,serogroup 1; serogroup 1,Confirmed; Confirmed,Community/municipality,13,13,13,0,13,,,,Other/Environmental water,,
2019,8,Florida,Water,Legionella pneumophila; Legionella pneumophila,serogroup 1; unknown,Confirmed; Suspected,Apartment/Condo,2,2,2,0,2,,,,Drinking water,Community,
2019,8,Florida,Water,Legionella pneumophila,serogroup 1,Confirmed,Assisted Living/Rehab,2,2,2,0,2,,,,Drinking water,Community,
2019,8,Florida,Water,Legionella pneumophila,serogroup 1,Suspected,Hospital,3,3,3,0,3,,,,Other/Environmental water,,
2019,9,Florida,Water,Legionella pneumophila,unknown,Suspected,Long-term care/nursing home/assisted living facility,2,2,2,0,2,,,,Drinking water,Community,
